,tags,tagfreq,tags,tagsum
0,Economics,11975,Economics,475266.0
1,Current Affairs,5101,Current Affairs,306537.0
2,Books,3387,Law,215620.0
3,Law,3363,Political Science,199168.0
4,Political Science,3135,History,149304.0
5,Education,2934,Education,147896.0
6,History,2870,Data Source,127724.0
7,Web/Tech,2612,Medicine,118250.0
8,Data Source,2549,Books,114279.0
9,Science,2202,Philosophy,89776.0
10,Medicine,2048,Science,82092.0
11,Philosophy,1332,Web/Tech,75518.0
12,Food and Drink,1224,Food and Drink,44233.0
13,The Arts,783,Travel,37652.0
14,Travel,690,Religion,32795.0
15,Religion,644,The Arts,26484.0
16,Film,631,Film,22692.0
17,Music,601,Sports,19519.0
18,Sports,524,Music,18777.0
19,Games,329,Games,15842.0
20,Television,315,Television,13738.0
21,Travels,297,Weblogs,7580.0
22,Weblogs,159,Travels,7124.0
