author,comments
Alex Tabarrok,42.17563671311869
Angus Grier,10.5
Bryan Caplan,2.6363636363636362
Craig Newmark,0.0
Daniel Akst,0.0
E. Glen Weyl,33.0
Ed Lopez,20.75
Eric Helland,0.0
Fabio Rojas,1.4
Garett Jones,4.0
Gary Leff,8.0
Justin Wolfers,9.666666666666666
Lee Coppock,4.571428571428571
Lloyd Cohen,0.0
MKoyama,29.5
Michael Stastny,0.0
Nicholas Tabarrok,24.25
Ramez Naam,97.2
Robert Hormats,14.0
Robin Hanson,2.6470588235294117
Russell Roberts,0.0
Steven Landsburg,0.0
Tim Harford,0.0
Tyler Cowen,40.20409157330735
